land_parcel_std,separated_names,tenderer_rank,num_tenderers_same_rank,tender_price,price_psm_gfa,tenderer_id,tenderer_name,unified_name
Mattar Road,Heliconia Land Pte. Ltd. | TTH Development Pte. Ltd. | First Capital Pte. Ltd.,2,3,218893000.0,11711.14,tenderer_1,Heliconia Land Pte. Ltd.,0
Jalan Jurong Kechil,COHL Singapore Pte. Ltd. | CSC Land Group (Singapore) Pte. Ltd.,1,2,215000000.0,10788.3,tenderer_1,COHL Singapore Pte. Ltd.,0
Middle Road,Wingcharm Investment Pte. Ltd.,1,1,491999999.0,15697.28,tenderer_1,Wingcharm Investment Pte. Ltd.,0
Toh Tuck Road,Singhaiyi Investments Pte. Ltd.,2,1,260168998.0,9926.33,tenderer_1,Singhaiyi Investments Pte. Ltd.,0
Jervois Road,Eastwood Park Pte. Ltd.,2,1,110000000.0,8770.53,tenderer_1,Eastwood Park Pte. Ltd.,0
Peck Seah Street/Choon Guan Street,RQ HOTEL MANAGEMENT Pte. Ltd. | RQ COMMERCIAL MANAGEMENT Pte. Ltd. | RQ RESIDENCE Pte. Ltd.,2,3,1528244644.0,9688.5,tenderer_1,RQ HOTEL MANAGEMENT Pte. Ltd.,0
Stamford Road/North Bridge Road,CAPITOL RETAIL MANAGEMENT Pte. Ltd. | CAPITOL HOTEL MANAGEMENT Pte. Ltd. | CAPITOL RESIDENTIAL DEVELOPMENT Pte. Ltd.,1,3,,0.0,tenderer_1,CAPITOL RETAIL MANAGEMENT Pte. Ltd.,0
Stamford Road/North Bridge Road,CAPITOL RETAIL MANAGEMENT Pte. Ltd. | CAPITOL HOTEL MANAGEMENT Pte. Ltd.,2,2,,0.0,tenderer_1,CAPITOL RETAIL MANAGEMENT Pte. Ltd.,0
Jurong Gateway Road,LEND LEASE RETAIL INVESTMENTS 3 Pte. Ltd. | LEND LEASE COMMERCIAL INVESTMENTS Pte. Ltd.,1,2,748888000.0,6992.55,tenderer_1,LEND LEASE RETAIL INVESTMENTS 3 Pte. Ltd.,0
Jurong Gateway Road,ENERGY TRUSTEE Pte. Ltd.,2,1,728800000.0,6804.98,tenderer_1,ENERGY TRUSTEE Pte. Ltd.,0
Clemenceau Avenue/Havelock Road,RB CAPITAL HOTELS Pte. Ltd.,1,1,101113000.0,8750.58,tenderer_1,RB CAPITAL HOTELS Pte. Ltd.,0
Kaki Bukit Avenue 4,WINLAND Pte. Ltd.,2,1,65188000.0,868.59,tenderer_1,WINLAND Pte. Ltd.,0
Jalan Eunos,TUAS TECHNOLOGY PARK Pte. Ltd. | OPH MARYMOUNT LIMITED,1,2,257777000.0,4462.43,tenderer_1,TUAS TECHNOLOGY PARK Pte. Ltd.,0
Woodlands Avenue 12,BOON KENG DEVELOPMENT Pte. Ltd.,1,1,65180000.0,807.7,tenderer_1,BOON KENG DEVELOPMENT Pte. Ltd.,0
Woodlands Avenue 12,TGFB Pte. Ltd.,2,1,50555777.0,626.48,tenderer_1,TGFB Pte. Ltd.,0
Seletar Road,Asplenium Land Pte. Ltd.,1,1,123000000.0,5032.94,tenderer_1,Asplenium Land Pte. Ltd.,0
Robinson Road/Boon Tat Street,Royal Group Holdings Pte. Ltd.,1,1,86000000.0,11543.62,tenderer_1,Royal Group Holdings Pte. Ltd.,0
Robinson Road/Boon Tat Street,Oxley Vibes Pte. Ltd.,2,1,72000000.0,9664.43,tenderer_1,Oxley Vibes Pte. Ltd.,0
Pioneer Road North/Soon Lee Street,WINLAND Pte. Ltd.,2,1,26588999.0,920.75,tenderer_1,WINLAND Pte. Ltd.,0
Pioneer Road North/Soon Lee Street,KNG LAND Pte. Ltd.,1,1,26920000.0,932.21,tenderer_1,KNG LAND Pte. Ltd.,0
Gopeng Street/Peck Seah Street,Imperial Development Pte. Ltd.,2,1,189000000.0,9734.24,tenderer_1,Imperial Development Pte. Ltd.,0
Robertson Quay,RB Capital Robertson City Pte. Ltd.,2,1,127111300.0,10047.53,tenderer_1,RB Capital Robertson City Pte. Ltd.,0
Bedok Reservoir Road,United Venture Development Pte. Ltd.,1,1,320000000.0,5009.94,tenderer_1,United Venture Development Pte. Ltd.,0
Kaki Bukit Road 4,Soon Hock Realty Pte. Ltd.,1,1,41399900.0,1688.74,tenderer_1,Soon Hock Realty Pte. Ltd.,0
Kaki Bukit Road 4,Qinghe Pte. Ltd.,2,1,41000889.0,1672.46,tenderer_1,Qinghe Pte. Ltd.,0
Paya Lebar Road/Eunos Road 8,Cantley Investments Pte. Ltd.,2,1,521000000.0,8352.44,tenderer_1,Cantley Investments Pte. Ltd.,0
Paya Lebar Road/Eunos Road 8,Siong Feng Development Pte. Ltd. | Guthrie (PLC) Pte. Ltd. | Sun Venture Commercial Pte. Ltd.,1,3,585586000.0,9387.85,tenderer_1,Siong Feng Development Pte. Ltd.,0
Yishun Avenue 6/Yishun Avenue 9,KNG LAND Pte. Ltd.,2,1,28288000.0,793.54,tenderer_1,KNG LAND Pte. Ltd.,0
Choa Chu Kang Drive,TIAN HOCK PROPERTIES Pte. Ltd.,1,1,116010000.0,2180.64,tenderer_1,TIAN HOCK PROPERTIES Pte. Ltd.,0
Ang Mo Kio Street 62,Qinghe Pte. Ltd. | Qingdao Construction (Singapore) Pte. Ltd.,2,2,125777888.0,1799.87,tenderer_1,Qinghe Pte. Ltd.,0
Woodlands Industrial Park E5,ZAP PILING Pte. Ltd.,2,1,8550000.0,203.57,tenderer_1,ZAP PILING Pte. Ltd.,0
Kallang Road/Jellicoe Road,CITYWIDE LAND Pte. Ltd.,1,1,51000000.0,2686.19,tenderer_1,CITYWIDE LAND Pte. Ltd.,0
Ubi Avenue 4,ORION-FOUR DEVELOPMENT Pte. Ltd.,2,1,23146235.0,805.68,tenderer_1,ORION-FOUR DEVELOPMENT Pte. Ltd.,0
Kallang Pudding Road,ORION-FOUR DEVELOPMENT Pte. Ltd.,1,1,10800000.0,752.19,tenderer_1,ORION-FOUR DEVELOPMENT Pte. Ltd.,0
Short Street,REGAL LAND Pte. Ltd.,2,1,14010000.0,3436.35,tenderer_1,REGAL LAND Pte. Ltd.,0
New Bridge Road,LEEDON INVESTMENTS Pte. Ltd.,1,1,67699800.0,4315.66,tenderer_1,LEEDON INVESTMENTS Pte. Ltd.,0
New Bridge Road,NEW BRIDGE DEVELOPMENT Pte. Ltd.,2,1,63899288.0,4073.39,tenderer_1,NEW BRIDGE DEVELOPMENT Pte. Ltd.,0
Kaki Bukit Road 2,KNG DEVELOPMENT Pte. Ltd.,1,1,12100000.0,1128.78,tenderer_1,KNG DEVELOPMENT Pte. Ltd.,0
Kaki Bukit Road 2,"LEE SIAW LING, LOW KHOON HUAT & ANG LAI HUAT",2,1,10388000.0,969.08,tenderer_1,"LEE SIAW LING, LOW KHOON HUAT & ANG LAI HUAT",0
Pioneer Road North/Soon Lee Drive,KNG REALTY Pte. Ltd.,1,1,19411112.0,511.93,tenderer_1,KNG REALTY Pte. Ltd.,0
Pioneer Road North/Soon Lee Drive,SIA KONG WAH & GIMP INVESTMENT Pte. Ltd.,2,1,18001818.0,474.76,tenderer_1,SIA KONG WAH & GIMP INVESTMENT Pte. Ltd.,0
Tampines Avenue 1/Avenue 10,WATERFRONT VIEW Pte. Ltd. | FCL TAMPINES COURT Pte. Ltd.,2,2,288999000.0,4335.74,tenderer_1,WATERFRONT VIEW Pte. Ltd.,0
Mohamed Sultan Road,LINK (THM) HOLDINGS Pte. Ltd.,1,1,17190000.0,1855.37,tenderer_1,LINK HOLDINGS Pte. Ltd.,0
Mohamed Sultan Road,OKH MANAGEMENT Pte. Ltd.,2,1,13290000.0,1434.43,tenderer_1,OKH MANAGEMENT Pte. Ltd.,0
Yishun Avenue 6/Yishun Industrial Street 1,OKH MANAGEMENT Pte. Ltd.,1,1,27200000.0,766.59,tenderer_1,OKH MANAGEMENT Pte. Ltd.,0
Petir Road,WINCHEER INVESTMENT Pte. Ltd.,1,1,177396000.0,3714.09,tenderer_1,WINCHEER INVESTMENT Pte. Ltd.,0
Yishun Avenue 9/Yishun Industrial Street 1,OKH Holdings Pte. Ltd.,2,1,28699808.0,979.52,tenderer_1,OKH Holdings Pte. Ltd.,0
Rangoon Road/Farrer Park Station Road,RB Capital Robertson City Pte. Ltd. | RB Capital Farrer Pte. Ltd.,1,2,151005000.0,11612.2,tenderer_1,RB Capital Robertson City Pte. Ltd.,0
Rangoon Road/Farrer Park Station Road,Taipan Trustee Pte. Ltd.,2,1,141094800.0,10850.11,tenderer_1,Taipan Trustee Pte. Ltd.,0
Kaki Bukit Road 5/Kaki Bukit Avenue 6,Trans-cab Services Pte. Ltd.,2,1,26600000.0,1453.47,tenderer_1,Trans-cab Services Pte. Ltd.,0
Tanah Merah Kechil Road,Areca Investment Pte. Ltd.,2,1,280100000.0,7146.14,tenderer_1,Areca Investment Pte. Ltd.,0
Scotts Road/Anthony Road,SUN VENTURE (S) INVESTMENTS Pte. Ltd.,1,1,32988888.0,2433.35,tenderer_1,SUN VENTURE INVESTMENTS Pte. Ltd.,0
Scotts Road/Anthony Road,SCOTTS DEVELOPMENT Pte. Ltd.,2,1,32001000.0,2360.48,tenderer_1,SCOTTS DEVELOPMENT Pte. Ltd.,0
Yishun Avenue 9/Yishun Industrial Street 1,Soon Hock Tuas Development Pte. Ltd.,1,1,51388000.0,1023.94,tenderer_1,Soon Hock Tuas Development Pte. Ltd.,0
Dairy Farm Road,First Shine Properties Pte. Ltd. | Meadows Bright Development Pte. Ltd.,1,2,244318000.0,6630.61,tenderer_1,First Shine Properties Pte. Ltd.,0
Farrer Road,Soon Hock Tuas Development Pte. Ltd.,2,1,44328000.0,11546.76,tenderer_1,Soon Hock Tuas Development Pte. Ltd.,0
Victoria Street/Jalan Sultan,Forward Land Pte. Ltd.,1,1,331336000.0,10696.19,tenderer_1,Forward Land Pte. Ltd.,0
Prince Charles Crescent/Prince Charles Square,Wingstar Investment Pte. Ltd. | Metro Australia Holdings Pte. Ltd. | Maxdin Pte. Ltd.,1,3,516298888.0,10336.31,tenderer_1,Wingstar Investment Pte. Ltd.,0
Belilios Road/Klang Lane,HOTEL GRAND CENTRAL Ltd.,1,1,48888888.0,4525.49,tenderer_1,HOTEL GRAND CENTRAL Ltd.,0
Belilios Road/Klang Lane,HOTEL ROYAL INVESTMENT Pte. Ltd.,2,1,43388899.0,4016.37,tenderer_1,HOTEL ROYAL INVESTMENT Pte. Ltd.,0
Alexandra Road/Alexandra View,Tanglin Land Pte. Ltd.,2,1,363000000.0,7443.41,tenderer_1,Tanglin Land Pte. Ltd.,0
Gambas Crescent/Sembawang Avenue,NSS Realty Pte. Ltd.,1,1,35000000.0,893.71,tenderer_1,NSS Realty Pte. Ltd.,0
Irving Place,Oxley Vista Pte. Ltd.,1,1,43388888.0,3697.23,tenderer_1,Oxley Vista Pte. Ltd.,0
Flora Drive,Tripartite Developers Pte. Ltd.,2,1,130800000.0,3483.82,tenderer_1,Tripartite Developers Pte. Ltd.,0
Woodlands Avenue 12,OKH Development Pte. Ltd.,1,1,84243821.0,1636.13,tenderer_1,OKH Development Pte. Ltd.,0
Woodlands Avenue 12,NSS Properties Pte. Ltd.,2,1,76484522.0,1485.43,tenderer_1,NSS Properties Pte. Ltd.,0
Tuas South Avenue 5/Tuas South Avenue 8,SCB Terraform Pte. Ltd.,1,1,7333338.0,1872.06,tenderer_1,SCB Terraform Pte. Ltd.,0
Tuas South Avenue 5/Tuas South Avenue 8,Soon Hock Property Development Pte. Ltd.,2,1,6510000.0,1661.88,tenderer_1,Soon Hock Property Development Pte. Ltd.,0
Soon Lee Street,KNG Properties Pte. Ltd.,1,1,64460000.0,1891.42,tenderer_1,KNG Properties Pte. Ltd.,0
Soon Lee Street,NSS Development Pte. Ltd.,2,1,59999000.0,1760.52,tenderer_1,NSS Development Pte. Ltd.,0
Upper Serangoon Road/Pheng Geck Avenue,Clerodendrum Land Pte. Ltd.,1,1,185168000.0,6106.52,tenderer_1,Clerodendrum Land Pte. Ltd.,0
Upper Serangoon Road/Pheng Geck Avenue,Realty Consortium Pte. Ltd.,2,1,178900000.0,5899.81,tenderer_1,Realty Consortium Pte. Ltd.,0
Woodlands Avenue 12,OKH Development Pte. Ltd.,1,1,71838936.0,1528.49,tenderer_1,OKH Development Pte. Ltd.,0
Kaki Bukit Road 4,NSS Properties Pte. Ltd.,1,1,65999988.0,1271.17,tenderer_1,NSS Properties Pte. Ltd.,0
Flora Drive,Realty Consortium Pte. Ltd.,1,1,163000000.0,3887.52,tenderer_1,Realty Consortium Pte. Ltd.,0
Flora Drive,Tripartite Developers Pte. Ltd.,2,1,147600000.0,3520.24,tenderer_1,Tripartite Developers Pte. Ltd.,0
Chestnut Avenue,Flamegold Pte. Ltd.,2,1,166100000.0,4229.8,tenderer_1,Flamegold Pte. Ltd.,0
Mountbatten Road,Chen Chew Yen,1,1,15010000.0,1278.64,tenderer_1,Chen Chew Yen,0
Jalan Bukit Merah/Alexandra Road,Forward Land Pte. Ltd.,2,1,184000000.0,8270.03,tenderer_1,Forward Land Pte. Ltd.,0
Yishun P5,Northern Resi Pte. Ltd. | Northern Retail Pte. Ltd.,1,2,185090000.0,6773.15,tenderer_2,Northern Retail Pte. Ltd.,0
Sengkang E3,Maxdin Pte. Ltd. | Lee Carriers Pte. Ltd.,1,2,176000000.0,3450.71,tenderer_2,Lee Carriers Pte. Ltd.,0
Marina Boulevard/Central Boulevard,Bayfront Development Pte. Ltd. | Choicewide Group Ltd. | Sageland Pte. Ltd.,1,3,1796238000.0,4101.0,tenderer_2,Choicewide Group Ltd.,0
Marina Boulevard/Central Boulevard,Winquest Investment Pte. Ltd. | Winance Investment Pte. Ltd. | Vitaland Ltd.,2,3,1660458000.0,3791.0,tenderer_2,Winance Investment Pte. Ltd.,0
Bukit Batok East Avenue 2,PARVILLION Pte. Ltd. | HAW PAR REALTY Pte. Ltd. | FEATURE DEVELOPMENT Pte. Ltd.,2,3,159000000.0,2497.41,tenderer_2,HAW PAR REALTY Pte. Ltd.,0
Marina View/Park Street,BRILLIANT HOTEL TRUSTEE Pte. Ltd. | BRILLIANT OFFICE TRUSTEE Pte. Ltd.,2,2,898000000.0,7906.32,tenderer_2,BRILLIANT OFFICE TRUSTEE Pte. Ltd.,0
Marina View/Commerce Street,MAPLETREE TRUSTEE Pte. Ltd. | ANSON TRUST,2,2,1836000000.0,13792.07,tenderer_2,ANSON TRUST,0
Novena Terrace/Irrawaddy Road,PARKWAY NOVENA Pte. Ltd. | PARKWAY IRRAWADDY Pte. Ltd.,1,2,1246200389.0,17224.61,tenderer_2,PARKWAY IRRAWADDY Pte. Ltd.,0
Novena Terrace/Irrawaddy Road,NAPIER MEDICAL Pte. Ltd. | NAPIER MEDICAL II Pte. Ltd.,2,2,540880000.0,7475.88,tenderer_2,NAPIER MEDICAL II Pte. Ltd.,0
Alexandra Road/Alexandra View,WINGLOW INVESTMENT Pte. Ltd. | GREATEARTH DEVELOPMENTS Pte. Ltd.,1,2,288380000.0,6876.18,tenderer_2,GREATEARTH DEVELOPMENTS Pte. Ltd.,0
Orchard Road/Paterson Road,CAPITALAND RETAIL SINGAPORE INVESTMENTS Pte. Ltd. | GRESWARD Pte. Ltd.,1,2,1380000000.0,10976.25,tenderer_2,GRESWARD Pte. Ltd.,0
Alexandra Road/Tiong Bahru Road,CRL REALTY Pte. Ltd. | LIPPO GROUP INTERNATIONAL Pte. LIMITED,1,2,179988000.0,3770.5,tenderer_2,LIPPO GROUP INTERNATIONAL Pte. LIMITED,0
Tanah Merah Kechil Avenue,CHOICEHOMES INVESTMENTS Pte. Ltd. | WINCHARM INVESTMENT Pte. Ltd.,1,2,210000000.0,3428.29,tenderer_2,WINCHARM INVESTMENT Pte. Ltd.,0
Paya Lebar Road/Sims Avenue,Roma Central Pte. Ltd. | Milano Central Pte. Ltd. | Verona Central Pte. Ltd.,1,3,1671688888.0,10145.65,tenderer_2,Milano Central Pte. Ltd.,0
Woodlands Square,"Far East Civil Engineering Pte. Ltd. | Tannery Holdings Pte. Ltd. | Sekisui House, Ltd.",1,3,633999000.0,9755.18,tenderer_2,Tannery Holdings Pte. Ltd.,0
Upper Serangoon View,Maxdin Pte. Ltd. | SingHaiyi Residences Pte. Ltd.,2,2,178888888.0,4989.23,tenderer_2,SingHaiyi Residences Pte. Ltd.,0
Yishun Avenue 9/Yishun Avenue 6,"FCL Topaz Pte. Ltd. | Tannery Holdings Pte. Ltd. | Sekisui House, Ltd.",2,3,273077000.0,4744.96,tenderer_2,Tannery Holdings Pte. Ltd.,0
Thomson Road/Irrawaddy Road,Swift One Pte. Ltd. | Swift Two Pte. Ltd. | Taipan Trustee Pte. Ltd.,2,3,444929918.0,15865.99,tenderer_2,Swift Two Pte. Ltd.,0
Tanah Merah Kechil Link,Tucana Residential Pte. Ltd. | Tucana Commercial Pte. Ltd.,2,2,238000000.0,9572.07,tenderer_2,Tucana Commercial Pte. Ltd.,0
Bernam Street,Vesta Sg Residences Pte. Ltd. | Vesta Sg Comm Pte. Ltd.,2,2,405081551.0,14466.68,tenderer_2,Vesta Sg Comm Pte. Ltd.,0
Jalan Anak Bukit,FE Landmark Pte. Ltd. | FEC Residences Trustee Pte. Ltd. | FEC Retail Trustee Pte. Ltd.,1,3,1028333333.0,10650.23,tenderer_2,FEC Residences Trustee Pte. Ltd.,0
Jalan Anak Bukit,Perpetual (Asia) Ltd. | Winchoice Investment Pte. Ltd.,2,2,1011000000.0,10470.72,tenderer_2,Winchoice Investment Pte. Ltd.,0
Woodleigh Lane,Corson Pte. Ltd. | Wingjoy Investment Pte. Ltd.,2,2,695000000.0,11851.78,tenderer_2,Wingjoy Investment Pte. Ltd.,0
Serangoon North Avenue 1,Corson Pte. Ltd. | Wingjoy Investment Pte. Ltd.,1,2,446280000.0,10385.13,tenderer_2,Wingjoy Investment Pte. Ltd.,0
Holland Road,Stirling Land Holdings Pte. Ltd. | Stirling View Pte. Ltd. | Stirling Property Pte. Ltd.,1,3,1213333000.0,20318.73,tenderer_2,Stirling View Pte. Ltd.,0
Holland Road,Maven Resources Pte. Ltd. | Riviera Resources Pte. Ltd.,2,2,1060574222.0,17760.6,tenderer_2,Riviera Resources Pte. Ltd.,0
Sengkang Central,Siena Residential Development Pte. Ltd. | Siena Trustee Pte. Ltd.,1,2,777777777.0,9941.43,tenderer_2,Siena Trustee Pte. Ltd.,0
Sengkang Central,PQJ Retail Management Pte. Ltd. | PQJ Residential Development Pte. Ltd.,2,2,681999800.0,8717.21,tenderer_2,PQJ Residential Development Pte. Ltd.,0
Cuscaden Road,Amberden Pte. Ltd. | FEC Properties Pte. Ltd. | Orchard Square Pte. Ltd.,1,3,410000000.0,25588.22,tenderer_2,FEC Properties Pte. Ltd.,0
Mattar Road,Heliconia Land Pte. Ltd. | TTH Development Pte. Ltd. | First Capital Pte. Ltd.,2,3,218893000.0,11711.14,tenderer_2,TTH Development Pte. Ltd.,0
Peck Seah Street/Choon Guan Street,PERFECT EAGLE Pte. Ltd. | GUSTON Pte. Ltd. | BELMETH Pte. Ltd.,1,3,1708080000.0,10828.59,tenderer_2,GUSTON Pte. Ltd.,0
Peck Seah Street/Choon Guan Street,RQ HOTEL MANAGEMENT Pte. Ltd. | RQ COMMERCIAL MANAGEMENT Pte. Ltd. | RQ RESIDENCE Pte. Ltd.,2,3,1528244644.0,9688.5,tenderer_2,RQ COMMERCIAL MANAGEMENT Pte. Ltd.,0
Stamford Road/North Bridge Road,CAPITOL RETAIL MANAGEMENT Pte. Ltd. | CAPITOL HOTEL MANAGEMENT Pte. Ltd. | CAPITOL RESIDENTIAL DEVELOPMENT Pte. Ltd.,1,3,,0.0,tenderer_2,CAPITOL HOTEL MANAGEMENT Pte. Ltd.,0
Stamford Road/North Bridge Road,CAPITOL RETAIL MANAGEMENT Pte. Ltd. | CAPITOL HOTEL MANAGEMENT Pte. Ltd.,2,2,,0.0,tenderer_2,CAPITOL HOTEL MANAGEMENT Pte. Ltd.,0
Jurong Gateway Road,LEND LEASE RETAIL INVESTMENTS 3 Pte. Ltd. | LEND LEASE COMMERCIAL INVESTMENTS Pte. Ltd.,1,2,748888000.0,6992.55,tenderer_2,LEND LEASE COMMERCIAL INVESTMENTS Pte. Ltd.,0
Robertson Quay,Novel Developments Pte. Ltd. | New Vista Realty Pte. Ltd.,1,2,127760000.0,10098.81,tenderer_2,New Vista Realty Pte. Ltd.,0
Rangoon Road/Farrer Park Station Road,RB Capital Robertson City Pte. Ltd. | RB Capital Farrer Pte. Ltd.,1,2,151005000.0,11612.2,tenderer_2,RB Capital Farrer Pte. Ltd.,0
Dairy Farm Road,First Shine Properties Pte. Ltd. | Meadows Bright Development Pte. Ltd.,1,2,244318000.0,6630.61,tenderer_2,Meadows Bright Development Pte. Ltd.,0
Prince Charles Crescent/Prince Charles Square,Wingstar Investment Pte. Ltd. | Metro Australia Holdings Pte. Ltd. | Maxdin Pte. Ltd.,1,3,516298888.0,10336.31,tenderer_2,Metro Australia Holdings Pte. Ltd.,0
Kovan Road/Simon Road,Hoi Hup Realty Pte. Ltd. | Investment Focus Pte. Ltd. | Oriental Worldwide Investments Inc.,1,3,194600000.0,5452.81,tenderer_2,Investment Focus Pte. Ltd.,0
Woodlands Avenue 2/Rosewood Drive,Fragrance Group Ltd. | Aspial Corp. Ltd.,1,2,151500100.0,3952.21,tenderer_2,Aspial Corp. Ltd.,0
Robinson Road/Cecil Street,Boo Han Holdings Pte. Ltd. | Pearlvine Pte. Ltd.,1,2,311777000.0,9494.11,tenderer_2,Pearlvine Pte. Ltd.,0
Sembawang Road/Jalan Sendudok,Fragrance Group Ltd. | Aspial Corp. Ltd.,2,2,172550000.0,4454.97,tenderer_2,Aspial Corp. Ltd.,0
Tampines E11,Maxdin Pte. Ltd. | BPK Development Pte. Ltd. | United Infrastructure Pte. Ltd. | LMG Realty Pte. Ltd.,2,4,230700000.0,3970.67,tenderer_3,United Infrastructure Pte. Ltd.,0
Marina Boulevard/Central Boulevard,Bayfront Development Pte. Ltd. | Choicewide Group Ltd. | Sageland Pte. Ltd.,1,3,1796238000.0,4101.0,tenderer_3,Sageland Pte. Ltd.,0
Marina Boulevard/Central Boulevard,Winquest Investment Pte. Ltd. | Winance Investment Pte. Ltd. | Vitaland Ltd.,2,3,1660458000.0,3791.0,tenderer_3,Vitaland Ltd.,0
Bukit Batok East Avenue 2,PARVILLION Pte. Ltd. | HAW PAR REALTY Pte. Ltd. | FEATURE DEVELOPMENT Pte. Ltd.,2,3,159000000.0,2497.41,tenderer_3,FEATURE DEVELOPMENT Pte. Ltd.,0
Paya Lebar Road/Sims Avenue,Roma Central Pte. Ltd. | Milano Central Pte. Ltd. | Verona Central Pte. Ltd.,1,3,1671688888.0,10145.65,tenderer_3,Verona Central Pte. Ltd.,0
Thomson Road/Irrawaddy Road,Swift One Pte. Ltd. | Swift Two Pte. Ltd. | Taipan Trustee Pte. Ltd.,2,3,444929918.0,15865.99,tenderer_3,Taipan Trustee Pte. Ltd.,0
Jalan Anak Bukit,FE Landmark Pte. Ltd. | FEC Residences Trustee Pte. Ltd. | FEC Retail Trustee Pte. Ltd.,1,3,1028333333.0,10650.23,tenderer_3,FEC Retail Trustee Pte. Ltd.,0
Holland Road,Stirling Land Holdings Pte. Ltd. | Stirling View Pte. Ltd. | Stirling Property Pte. Ltd.,1,3,1213333000.0,20318.73,tenderer_3,Stirling Property Pte. Ltd.,0
Peck Seah Street/Choon Guan Street,PERFECT EAGLE Pte. Ltd. | GUSTON Pte. Ltd. | BELMETH Pte. Ltd.,1,3,1708080000.0,10828.59,tenderer_3,BELMETH Pte. Ltd.,0
Peck Seah Street/Choon Guan Street,RQ HOTEL MANAGEMENT Pte. Ltd. | RQ COMMERCIAL MANAGEMENT Pte. Ltd. | RQ RESIDENCE Pte. Ltd.,2,3,1528244644.0,9688.5,tenderer_3,RQ RESIDENCE Pte. Ltd.,0
Stamford Road/North Bridge Road,CAPITOL RETAIL MANAGEMENT Pte. Ltd. | CAPITOL HOTEL MANAGEMENT Pte. Ltd. | CAPITOL RESIDENTIAL DEVELOPMENT Pte. Ltd.,1,3,,0.0,tenderer_3,CAPITOL RESIDENTIAL DEVELOPMENT Pte. Ltd.,0
Paya Lebar Road/Eunos Road 8,Siong Feng Development Pte. Ltd. | Guthrie (PLC) Pte. Ltd. | Sun Venture Commercial Pte. Ltd.,1,3,585586000.0,9387.85,tenderer_3,Sun Venture Commercial Pte. Ltd.,0
